"date","lip","lcpi","lpcom","unemp","ffr","gs1","ebp","shock_wieland","lip_lag1","lip_lag2","unemp_lag1","unemp_lag2","lcpi_lag1","lcpi_lag2","lpcom_lag1","lpcom_lag2","ffr_lag1","ffr_lag2","shock_wieland_lag1","dep_lead","shock_bauer","shock_bs_lag1","shock_bauer_lag1","shock_bauer_lag2"
2011-12-01,4.56623079326051,5.42593191411771,529.731686621445,8.5,0.07,0.12,8.29,-0.23499,4.56098629662693,4.56110439437543,8.6,8.8,5.42569423387574,5.42384808899525,530.529298028446,530.380229677861,0.08,0.07,-0.02722,4.59458536388792,0.0180705088407858,0.0215237689559124,0.0215237689559124,0
2012-01-01,4.57222851830392,5.42865240627497,530.181125580229,8.3,0.08,0.12,7.57,0.03607,4.56623079326051,4.56098629662693,8.5,8.6,5.42593191411771,5.42569423387574,529.731686621445,530.529298028446,0.07,0.08,-0.23499,4.59954539647767,-0.0354886065424509,0.0180705088407858,0.0180705088407858,0.0215237689559124
2012-02-01,4.57539321995056,5.43078757131184,530.628553619721,8.3,0.1,0.16,7.09,NA,4.57222851830392,4.56623079326051,8.3,8.5,5.42865240627497,5.42593191411771,530.181125580229,529.731686621445,0.08,0.07,0.03607,4.59434379150322,0,-0.0354886065424509,-0.0354886065424509,0.0180705088407858
2012-03-01,4.5701738973755,5.43287885344324,531.909990573056,8.2,0.13,0.19,7.29,0.03525,4.57539321995056,4.57222851830392,8.3,8.3,5.43078757131184,5.42865240627497,530.628553619721,530.181125580229,0.1,0.08,NA,4.58663445583871,-0.00962141872771863,0,0,-0.0354886065424509
2012-04-01,4.57729526522204,5.43453826420931,531.664832323276,8.2,0.14,0.18,7.11,0.00698,4.5701738973755,4.57539321995056,8.2,8.3,5.43287885344324,5.43078757131184,531.909990573056,530.628553619721,0.13,0.1,0.03525,4.58982809568882,0.00220612427609435,-0.00962141872771863,-0.00962141872771863,0
2012-05-01,4.57943690709233,5.43246794243903,530.777252531879,8.2,0.16,0.19,7.85,NA,4.57729526522204,4.5701738973755,8.2,8.2,5.43453826420931,5.43287885344324,531.664832323276,531.909990573056,0.14,0.13,0.00698,4.5875651222793,0,0.00220612427609435,0.00220612427609435,-0.00962141872771863
2012-06-01,4.57961440097156,5.43164123764146,529.731686621445,8.2,0.16,0.19,7.4,0.35992,4.57943690709233,4.57729526522204,8.2,8.2,5.43246794243903,5.43453826420931,530.777252531879,531.664832323276,0.16,0.14,NA,4.59240404445842,0.0382147885613605,0,0,0.00220612427609435
2012-07-01,4.58160878333843,5.43193000587196,529.881724158969,8.2,0.16,0.19,6.98,NA,4.57961440097156,4.57943690709233,8.2,8.2,5.43164123764146,5.43246794243903,529.731686621445,530.777252531879,0.16,0.16,0.35992,4.59355499001578,0,0.0382147885613605,0.0382147885613605,0
2012-08-01,4.57752557052152,5.43772272361508,531.172705345795,8.1,0.13,0.18,6.82,1.01889,4.58160878333843,4.57961440097156,8.2,8.2,5.43193000587196,5.43164123764146,529.881724158969,529.731686621445,0.16,0.16,NA,4.59251747699808,0.0121450433402153,0,0,0.0382147885613605
2012-09-01,4.5769939375784,5.44248264347854,532.007885832955,7.8,0.14,0.18,6.62,1.56222,4.57752557052152,4.58160878333843,8.1,8.2,5.43772272361508,5.43193000587196,531.172705345795,529.881724158969,0.13,0.16,1.01889,4.59163094268611,-0.00745520786746464,0.0121450433402153,0.0121450433402153,0
